#chr	start	end	name	WT_DNAse_ZT02	WT_DNAse_ZT06	WT_DNAse_ZT10	WT_DNAse_ZT14	WT_DNAse_ZT18	WT_DNAse_ZT22	WT_DNAse_ZT26	WT_DNAse_ZTALL	WT_H3K27ac_ZT02	WT_H3K27ac_ZT06	WT_H3K27ac_ZT10	WT_H3K27ac_ZT14	WT_H3K27ac_ZT18	WT_H3K27ac_ZT22	WT_H3K27ac_ZT26	WT_H3K4me3_ZT02	WT_H3K4me3_ZT06	WT_H3K4me3_ZT10	WT_H3K4me3_ZT14	WT_H3K4me3_ZT18	WT_H3K4me3_ZT22	WT_H3K4me3_ZT26	WT_Pol2_ZT02	WT_Pol2_ZT06	WT_Pol2_ZT10	WT_Pol2_ZT14	WT_Pol2_ZT18	WT_Pol2_ZT22	WT_Pol2_ZT26
chr7	51960518	51960617		0.24	0.4	0	0	0.14	0	0.12	0.14	5.36	5.09	22.3	32.53	6.08	18.5	21.48	0	0	0	56.35	31.57	22.4	93.96	36.02	41.2	13.4	19.5	25.37	49.94	28.26
chr7	51960618	51960717		0.24	0.08	0.1	0.12	0.42	0	0.12	0.14	19.37	11.25	26.76	12.99	17.92	10.85	10.0	0	0	0	0	0	0	35.38	22.34	29.77	25.48	39.35	25.46	10.69	12.99
chr7	51960718	51960817		0.06	0.08	0.1	0.06	0.07	0	0	0.06	0	15.75	10.57	3.08	1.12	10.85	10.67	0	0	0	0	0	0	13.34	14.2	0	32.9	44.76	13.42	6.84	46.43
chr7	51960818	51960917		0	0.12	0	0.12	0	0	0.06	0.06	0	6.82	21.45	8.47	10.48	10.0	17.36	29.75	0	0	0	0	42.0	61.48	20.6	0	28.8	36.06	14.78	32.16	30.16
chr7	51960918	51961017		0.06	0.32	0.15	0.13	0.07	0.06	0	0.14	0	2.56	20.22	9.45	5.52	17.07	13.98	33.15	0	0	0	0	0	11.02	5.4	9.14	0.88	6.96	9.79	18.32	22.77
chr7	51961018	51961117		0	0.04	0.1	0.19	0.07	0.12	0	0.07	0	3.4	6.99	0	0	0	5.02	0	0	0	0	0	0	0	7.9	3.55	0	2.88	2.68	0	24.51
chr7	51961118	51961217		0.12	0.04	0.1	0	0.07	0.03	0.19	0.07	1.88	4.87	3.03	1.82	0	6.79	7.28	21.25	0	0	0	0	0	0	6.09	13.3	16.35	2.7	1.4	17.81	12.68
chr7	51961218	51961317		0.36	0.12	0.1	0.12	0.14	0	0.09	0.11	17.77	17.79	13.65	13.16	9.28	6.79	5.6	41.65	0	0	0	0	0	0	8.37	15.6	15.02	28.32	9.67	8.56	12.74
chr7	51961318	51961417		0.06	0.04	0.05	0.06	0.07	0	0	0.04	54.48	11.47	15.27	26.46	17.12	12.85	18.29	0	0	0	0	0	0	0	11.4	20.14	8.51	4.98	3.9	6.41	5.38
chr7	51961418	51961517		0.12	0.48	0	0.12	0.28	0	0	0.18	20.39	26.56	6.19	23.08	9.6	23.73	15.97	0	0	0	0	28.29	0	0	9.92	9.64	44.02	12.3	12.25	5.31	20.07
chr7	51961518	51961617		0.18	0.36	0.14	0.19	0	0	0.18	0.18	37.53	10.0	0	14.91	0.24	16.33	7.43	0	57.75	0	0	3.69	0	0	0	10.63	12.11	20.1	17.5	7.92	11.99
chr7	51961618	51961717		0	0.52	0.05	0.06	0.07	0.12	0.31	0.21	9.12	2.24	17.53	14.63	15.36	4.06	13.94	0	0	0	0	19.27	35.84	0	0	8.55	42.37	9.06	14.52	4.77	10.91
chr7	51961718	51961817		0.06	0.24	0	0	0	0.06	0	0.06	4.26	31.31	9.19	3.92	22.8	21.62	3.52	0	0	44.8	0	12.71	47.61	0	11.75	4.54	26.86	7.56	3.78	0	8.04
chr7	51961818	51961917		0.06	0	0	0.25	0.07	0.12	0	0.05	20.31	59.42	10.63	7.42	5.84	10.08	3.54	0	0	2.56	0	0	0	28.42	25.54	9.44	26.74	10.02	10.71	4.68	9.72
chr7	51961918	51962017		0	0	0.19	0.06	0	0.06	0.26	0.09	51.86	18.12	22.06	14.07	31.44	12.82	28.47	0	10.78	17.4	0	32.39	0	14.5	30.66	10.4	43.61	11.34	14.92	26.5	14.05
chr7	51962018	51962117		0.3	0.32	0	0.25	0.07	0.24	0.12	0.15	47.1	17.41	34.3	8.75	42.45	10.48	19.28	0	46.2	78.03	0	92.66	0	6.96	44.35	41.3	36.7	4.5	26.7	57.68	14.13
chr7	51962118	51962217		0.78	0.88	0.1	0.06	0.35	0.78	0.12	0.33	37.27	11.58	42.84	23.16	18.57	11.5	25.44	0	0	0	0	4.1	21.28	35.96	67.32	52.52	42.11	7.92	16.35	60.82	20.79
chr7	51962218	51962317		0.12	0.2	0.1	0.06	0.28	0.48	0.19	0.15	5.7	7.71	33.7	35.78	26.24	49.01	37.32	0	0	85.04	29.9	0	20.16	0	77.54	94.05	56.68	53.04	36.85	62.51	56.09
chr7	51962318	51962417		0.6	0.2	0	0.95	0.49	0.42	0.39	0.33	95.82	13.54	50.25	34.42	42.79	38.36	76.17	0	0	10.88	54.47	34.03	42.0	0	48.61	125.66	117.4	50.08	105.13	116.33	48.86
chr7	51962418	51962517		0.3	0.12	0.05	0.5	0.14	0.6	0.18	0.17	8.29	20.82	52.88	23.11	42.2	41.0	72.75	0	0	10.88	60.43	89.38	0	24.36	28.9	114.97	93.89	83.25	55.08	116.9	24.6
chr7	51962518	51962617		0.18	0.48	0.25	0.5	0.14	0	0.25	0.31	1.38	2.08	58.86	29.94	15.2	33.15	56.08	0	0	84.41	0	4.51	0	18.56	4.34	50.92	34.28	30.57	33.29	52.91	20.25
chr7	51962618	51962717		0.24	0.04	0.34	0.06	0.42	0	0.44	0.22	4.62	1.6	48.46	39.76	11.12	19.76	49.81	0	0	37.76	14.72	32.8	14.56	0	44.14	39.54	9.57	27.84	30.83	13.46	32.72
chr7	51962718	51962817		0.06	0.28	0.34	0.31	0.63	0	0.62	0.39	0	2.4	37.24	44.22	28.45	33.07	52.62	0	0	9.6	21.16	65.19	74.82	0	31.96	71.93	44.56	36.25	32.83	44.69	29.26
chr7	51962818	51962917		0.41	0.2	0.1	0	0.07	0.12	0.36	0.14	70.09	3.81	13.69	18.04	40.69	17.58	33.31	54.4	0	48.0	0	29.93	35.47	0	20.74	91.9	10.33	23.75	20.0	37.38	4.52
chr7	51962918	51963017		0.06	0.4	0	0.06	0	0	0.06	0.12	31.98	18.19	0.6	2.52	18.32	6.79	20.89	8.5	24.64	0	0	54.94	0	0	10.64	34.18	4.62	12.36	13.7	28.47	29.27
chr7	51963018	51963117		0.29	0.24	0.05	0	0.14	0.12	0.06	0.1	9.77	12.74	0	6.23	1.58	13.25	11.14	0	84.03	14.72	0	9.43	16.8	0	19.03	42.69	22.06	18.84	36.35	3.42	22.77
chr7	51963118	51963217		0.07	0.08	0.07	0	0	0.13	0.08	0.04	17.92	0.26	4.26	9.52	7.3	2.52	3.56	0	5.39	32.64	0	20.91	24.64	0	29.98	20.91	34.06	13.44	5.73	7.65	9.65
chr7	51963218	51963317		0.06	0	0	0.06	0	0	0.31	0.06	8.93	34.36	11.16	13.72	3.04	13.75	25.31	0	3.08	0	85.32	11.07	0	0	15.28	27.5	11.88	11.94	26.6	25.09	34.77
chr7	51963318	51963417		0.3	0.12	0	0	0.28	0.36	0.22	0.1	12.2	7.26	16.34	10.25	8.12	27.17	17.19	0	53.9	0	36.86	0	0	0	8.81	11.6	4.53	21.95	21.07	36.61	61.69
chr7	51963418	51963517		0.12	0.12	0.28	0.03	0.21	0	0.23	0.21	14.91	23.15	9.1	11.38	14.28	8.28	34.08	0	0	58.6	35.0	0	29.12	34.22	31.85	20.62	40.9	32.08	15.14	46.99	23.96
chr7	51963518	51963617		0.3	0.22	0.24	0.28	0.05	0.14	0.17	0.22	11.77	22.67	3.76	3.92	12.56	26.8	13.78	0	0	36.67	6.75	4.24	31.36	8.7	22.93	27.49	23.7	24.19	8.07	15.87	13.8
chr7	51963618	51963717		0.47	0.08	0.1	0.08	0.07	0	0.14	0.08	35.19	9.03	32.43	5.72	10.22	28.25	19.49	0	0	0	4.95	2.0	12.04	0	32.96	10.12	14.89	21.39	24.95	16.63	22.48
chr7	51963718	51963817		0.18	0.16	0.05	0.12	0.07	0.12	0.14	0.1	9.9	2.79	21.27	33.29	19.38	11.34	18.58	0	57.75	0	0	0	0	15.66	20.49	6.09	32.6	31.23	21.34	24.03	7.81
chr7	51963818	51963917		0.06	0.32	0.05	0.06	0	0	0.12	0.12	8.1	0	13.09	20.25	3.84	5.25	15.83	0	0	0	0	0	0	27.26	15.62	11.7	25.2	21.84	5.58	11.48	11.08
chr7	51963918	51964017		0.18	0.16	0	0.06	0	0.24	0	0.05	0	0	9.58	0	0	16.31	20.7	0	0	0	0	8.2	20.16	0	13.49	5.8	23.32	8.04	6.99	5.97	8.81
chr7	51964018	51964117		0.83	0.12	0.2	0.63	0.42	0.36	0	0.23	0.66	11.56	10.93	6.12	20.9	53.63	23.61	0	20.79	0	0	23.78	148.3	6.38	61.49	22.17	61.63	27.6	37.91	40.03	74.82
chr7	51964118	51964217		1.58	0.28	0.98	1.0	0.7	0.06	0.5	0.65	21.81	62.16	105.26	55.38	111.21	53.22	35.82	0	36.19	48.0	30.98	66.01	0	74.24	73.07	56.89	97.71	131.85	59.59	99.59	136.4
chr7	51964218	51964317		2.65	0.48	0.62	0.44	0.91	0.24	0.37	0.52	80.0	73.98	91.04	38.61	100.24	57.41	32.18	0	57.75	95.29	41.21	94.71	0	5.22	98.81	96.77	197.33	162.22	45.02	189.32	149.71
chr7	51964318	51964417		0.48	0.08	0.25	0.95	0.77	0	0.18	0.37	60.37	39.66	32.85	19.83	26.49	60.61	33.82	0	36.96	71.46	1.84	2.05	0	20.88	62.58	35.19	46.43	88.07	54.7	89.65	68.57
chr7	51964418	51964517		0.18	0.28	0.3	0.06	0.76	0.48	0.19	0.28	36.04	37.79	31.48	35.49	25.36	26.22	29.54	0	20.02	24.38	116.44	59.45	16.89	22.04	32.13	33.87	28.48	64.05	78.49	21.38	35.76
chr7	51964518	51964617		0.18	0.12	0.34	0.25	0.35	1.14	0.31	0.24	4.08	15.46	36.27	24.73	35.11	24.98	14.99	0	0	0	62.83	2.46	66.61	0	29.3	66.6	60.27	53.84	102.7	26.45	75.96
chr7	51964618	51964717		0.59	0.4	0.05	0.44	0.35	0.24	0.24	0.27	3.96	50.46	28.5	24.16	25.33	14.82	20.02	0	0	40.96	0	0	39.2	48.72	28.14	59.66	62.4	37.0	73.88	26.64	64.58
chr7	51964718	51964817		0.24	0.04	0.14	0	0.14	0.3	0.06	0.07	4.24	17.48	8.16	28.3	3.36	9.96	28.2	0	0	6.4	0	61.91	2.24	47.56	24.64	21.17	16.67	59.33	53.48	18.45	33.56
chr7	51964818	51964917		0.24	0.36	0.15	0.18	0.21	0.18	0.44	0.25	66.68	8.6	11.88	42.43	15.84	21.36	17.34	0	0	0	0	2.46	12.32	36.54	13.17	11.22	1.19	34.94	29.97	19.7	14.94
chr7	51964918	51965017		0.3	0.04	0	0	0.21	0.48	0.31	0.09	7.44	70.92	20.91	10.74	14.56	12.25	3.21	84.94	0	0	21.62	0	29.12	38.86	3.35	11.95	0.84	3.24	17.63	41.72	0.3
chr7	51965018	51965117		0.18	0.68	0.05	0	0.07	0.12	0.06	0.21	8.1	21.46	8.25	23.95	15.92	8.06	8.62	41.65	28.49	0	14.26	0	16.24	0	37.97	78.44	15.09	16.72	11.07	10.28	22.39
chr7	51965118	51965217		0.24	0.68	0	0.06	0.07	0.12	0.06	0.2	16.82	19.58	7.86	11.31	3.2	21.99	17.1	0	28.49	0	32.2	0	25.2	0	54.88	39.79	35.07	52.35	12.3	3.42	19.17
chr7	51965218	51965317		0.06	0.12	0.1	0.19	0.07	0.06	0.12	0.11	19.1	1.32	11.48	0	22.64	9.03	11.2	0	0	0	3.68	0	0	0	9.68	27.43	7.73	7.92	8.22	5.58	26.92
chr7	51965318	51965417		0.06	0.2	0.05	0.18	0.14	0	0.06	0.12	23.72	3.64	27.55	1.26	7.12	20.35	16.64	0	0	0	0	0	0	0	12.03	47.92	6.68	19.62	19.92	30.83	8.72
chr7	51965418	51965517		0.3	0.44	0.29	0.12	0.42	0	0.25	0.29	3.18	28.06	20.08	17.58	35.75	22.08	30.35	0	0	24.96	0	32.8	67.69	12.18	61.15	44.88	7.7	19.5	25.8	30.58	42.77
chr7	51965518	51965617		0.58	0.28	0.86	0.19	0.21	0.12	0.56	0.41	3.66	14.87	15.91	25.95	31.4	36.69	26.5	0	0	22.4	0	35.26	15.71	71.34	49.76	113.11	33.56	29.94	34.14	42.45	53.74
chr7	51965618	51965717		0.48	0.4	0.19	0.06	0.21	1.27	0.57	0.28	36.52	9.61	31.48	23.7	35.36	19.78	31.81	12.75	57.75	0	32.37	56.99	0	35.96	24.51	124.39	11.96	39.71	31.82	51.44	46.32
chr7	51965718	51965817		0.54	0.12	0.39	0.13	0.21	0.06	0.18	0.19	40.66	1.4	39.97	23.77	36.62	63.83	17.49	50.15	27.72	0	56.83	58.22	10.64	39.44	28.13	42.93	70.15	32.01	43.53	41.72	12.25
chr7	51965818	51965917		0.3	0.2	0.2	0.31	0.28	0	0.19	0.21	42.16	15.92	23.21	21.68	14.24	44.37	28.6	36.55	29.26	94.71	25.76	25.42	35.28	12.76	15.68	36.14	81.48	43.17	35.57	44.03	46.73
chr7	51965918	51966017		0.12	0.84	0	1.65	0.63	0.06	0.56	0.67	80.38	74.07	57.85	45.88	60.09	80.15	38.74	26.35	0	1.28	28.98	155.8	66.84	0	56.9	61.97	90.68	81.75	12.52	117.26	70.59
chr7	51966018	51966117		0.35	1.0	0.93	0.77	1.6	0	0.88	0.96	73.98	83.54	89.86	27.96	68.38	121.95	42.54	0	57.75	75.45	13.8	52.07	85.08	78.88	143.75	85.81	66.32	97.83	68.88	126.8	63.17
